1551.120000,7.6020E-006,1551.120000,6.9630E-006,1551.120000,4.7380E-006,1551.120000,4.1700E-006,1551.120000,4.0320E-006,1551.120000,3.0280E-006,1551.120000,2.4740E-006,1551.120000,1.6570E-006,1551.120000,1.6230E-006,1551.120000,1.2480E-006
1551.135000,7.8230E-006,1551.135000,5.7340E-006,1551.135000,4.6250E-006,1551.135000,4.6990E-006,1551.135000,3.3600E-006,1551.135000,2.4360E-006,1551.135000,2.3960E-006,1551.135000,1.8890E-006,1551.135000,1.3940E-006,1551.135000,1.0490E-006
1551.150000,7.7830E-006,1551.150000,6.1420E-006,1551.150000,4.7710E-006,1551.150000,5.2060E-006,1551.150000,3.4530E-006,1551.150000,2.9190E-006,1551.150000,2.1460E-006,1551.150000,2.0130E-006,1551.150000,1.6490E-006,1551.150000,1.0160E-006
1551.165000,7.7490E-006,1551.165000,5.7760E-006,1551.165000,5.4750E-006,1551.165000,5.0240E-006,1551.165000,3.0850E-006,1551.165000,2.7990E-006,1551.165000,2.1650E-006,1551.165000,1.8970E-006,1551.165000,1.5150E-006,1551.165000,1.1780E-006
1551.180000,9.0860E-006,1551.180000,6.0770E-006,1551.180000,5.5110E-006,1551.180000,4.6000E-006,1551.180000,3.5000E-006,1551.180000,2.9680E-006,1551.180000,2.0280E-006,1551.180000,1.7970E-006,1551.180000,1.2680E-006,1551.180000,1.1880E-006
1551.195000,9.6540E-006,1551.195000,4.9860E-006,1551.195000,4.6150E-006,1551.195000,5.1930E-006,1551.195000,3.7460E-006,1551.195000,2.7860E-006,1551.195000,2.5760E-006,1551.195000,1.7850E-006,1551.195000,1.9350E-006,1551.195000,1.1020E-006
1551.210000,8.8400E-006,1551.210000,5.1000E-006,1551.210000,4.7820E-006,1551.210000,5.3250E-006,1551.210000,3.8120E-006,1551.210000,3.0700E-006,1551.210000,2.2010E-006,1551.210000,2.0170E-006,1551.210000,1.5140E-006,1551.210000,1.2390E-006
1551.225000,7.5600E-006,1551.225000,4.7910E-006,1551.225000,5.7780E-006,1551.225000,4.3260E-006,1551.225000,3.3560E-006,1551.225000,2.9680E-006,1551.225000,2.1930E-006,1551.225000,1.8310E-006,1551.225000,1.8820E-006,1551.225000,1.2410E-006
1551.240000,9.5160E-006,1551.240000,5.3150E-006,1551.240000,6.3860E-006,1551.240000,5.0310E-006,1551.240000,3.5220E-006,1551.240000,2.5070E-006,1551.240000,2.6660E-006,1551.240000,1.8810E-006,1551.240000,1.5130E-006,1551.240000,8.2500E-007
1551.255000,9.0670E-006,1551.255000,5.3570E-006,1551.255000,4.5360E-006,1551.255000,4.2900E-006,1551.255000,4.4110E-006,1551.255000,2.3940E-006,1551.255000,2.4430E-006,1551.255000,1.1820E-006,1551.255000,1.8650E-006,1551.255000,1.1670E-006
1551.270000,7.2260E-006,1551.270000,5.6410E-006,1551.270000,4.4680E-006,1551.270000,4.8440E-006,1551.270000,4.6550E-006,1551.270000,2.7610E-006,1551.270000,2.9900E-006,1551.270000,1.5200E-006,1551.270000,1.6550E-006,1551.270000,8.6000E-007
1551.285000,6.9650E-006,1551.285000,5.5590E-006,1551.285000,4.9650E-006,1551.285000,4.3010E-006,1551.285000,3.5030E-006,1551.285000,2.6400E-006,1551.285000,2.2010E-006,1551.285000,2.2350E-006,1551.285000,1.5930E-006,1551.285000,1.1220E-006
1551.300000,7.6080E-006,1551.300000,6.8060E-006,1551.300000,5.0620E-006,1551.300000,3.6690E-006,1551.300000,3.5440E-006,1551.300000,2.5300E-006,1551.300000,2.2880E-006,1551.300000,1.4760E-006,1551.300000,1.4640E-006,1551.300000,1.1620E-006
1551.315000,7.7500E-006,1551.315000,8.0420E-006,1551.315000,3.9170E-006,1551.315000,4.4410E-006,1551.315000,4.6610E-006,1551.315000,2.4370E-006,1551.315000,2.6380E-006,1551.315000,1.6380E-006,1551.315000,2.1690E-006,1551.315000,9.7860E-007
1551.330000,6.3460E-006,1551.330000,6.5410E-006,1551.330000,4.8180E-006,1551.330000,3.2930E-006,1551.330000,4.6020E-006,1551.330000,2.5210E-006,1551.330000,2.5490E-006,1551.330000,1.4950E-006,1551.330000,1.1960E-006,1551.330000,1.2880E-006
1551.345000,5.7010E-006,1551.345000,6.8800E-006,1551.345000,3.7240E-006,1551.345000,3.8280E-006,1551.345000,4.0360E-006,1551.345000,2.5000E-006,1551.345000,2.7860E-006,1551.345000,1.7810E-006,1551.345000,1.9320E-006,1551.345000,1.2630E-006
1551.360000,6.2350E-006,1551.360000,7.7370E-006,1551.360000,4.6590E-006,1551.360000,3.8720E-006,1551.360000,3.2660E-006,1551.360000,2.1570E-006,1551.360000,1.9070E-006,1551.360000,1.8790E-006,1551.360000,1.3840E-006,1551.360000,9.3490E-007
1551.375000,6.5190E-006,1551.375000,8.7590E-006,1551.375000,4.5450E-006,1551.375000,3.5350E-006,1551.375000,3.7370E-006,1551.375000,2.8060E-006,1551.375000,2.3810E-006,1551.375000,1.8090E-006,1551.375000,1.5820E-006,1551.375000,1.3080E-006
1551.390000,6.8120E-006,1551.390000,7.1090E-006,1551.390000,4.0780E-006,1551.390000,3.6010E-006,1551.390000,3.7070E-006,1551.390000,2.4390E-006,1551.390000,2.2120E-006,1551.390000,1.2220E-006,1551.390000,1.4570E-006,1551.390000,1.1120E-006
1551.405000,7.0860E-006,1551.405000,5.7810E-006,1551.405000,4.4920E-006,1551.405000,4.6080E-006,1551.405000,3.8090E-006,1551.405000,3.0830E-006,1551.405000,2.3640E-006,1551.405000,1.9170E-006,1551.405000,1.3790E-006,1551.405000,1.2580E-006
1551.420000,6.4430E-006,1551.420000,6.7760E-006,1551.420000,5.0310E-006,1551.420000,4.9610E-006,1551.420000,2.9070E-006,1551.420000,2.0910E-006,1551.420000,2.3160E-006,1551.420000,2.1880E-006,1551.420000,1.7460E-006,1551.420000,8.8210E-007
1551.435000,8.5490E-006,1551.435000,7.1220E-006,1551.435000,6.0000E-006,1551.435000,4.2310E-006,1551.435000,3.2960E-006,1551.435000,3.3040E-006,1551.435000,1.9900E-006,1551.435000,1.3590E-006,1551.435000,1.2930E-006,1551.435000,1.5100E-006
1551.450000,1.0990E-005,1551.450000,6.6020E-006,1551.450000,5.3450E-006,1551.450000,4.3500E-006,1551.450000,3.0460E-006,1551.450000,2.4880E-006,1551.450000,2.0490E-006,1551.450000,2.0250E-006,1551.450000,1.3450E-006,1551.450000,1.1240E-006
1551.465000,9.3960E-006,1551.465000,4.7640E-006,1551.465000,5.2370E-006,1551.465000,4.6150E-006,1551.465000,3.5430E-006,1551.465000,2.8340E-006,1551.465000,2.3280E-006,1551.465000,1.7900E-006,1551.465000,1.3360E-006,1551.465000,8.8420E-007
1551.480000,8.0330E-006,1551.480000,5.4560E-006,1551.480000,5.1330E-006,1551.480000,5.4770E-006,1551.480000,3.5730E-006,1551.480000,2.7230E-006,1551.480000,2.6830E-006,1551.480000,1.8360E-006,1551.480000,1.3880E-006,1551.480000,9.6190E-007
1551.495000,9.4770E-006,1551.495000,5.4240E-006,1551.495000,6.6380E-006,1551.495000,4.7470E-006,1551.495000,3.4830E-006,1551.495000,3.1480E-006,1551.495000,2.4050E-006,1551.495000,1.5900E-006,1551.495000,1.5000E-006,1551.495000,9.8350E-007
1551.510000,1.2210E-005,1551.510000,5.9550E-006,1551.510000,6.4130E-006,1551.510000,4.5980E-006,1551.510000,3.7020E-006,1551.510000,2.7230E-006,1551.510000,2.3920E-006,1551.510000,1.7240E-006,1551.510000,2.0100E-006,1551.510000,1.2580E-006
1551.525000,1.1430E-005,1551.525000,4.9270E-006,1551.525000,5.2770E-006,1551.525000,3.7610E-006,1551.525000,3.7150E-006,1551.525000,2.5050E-006,1551.525000,2.2770E-006,1551.525000,9.7230E-007,1551.525000,1.6440E-006,1551.525000,1.0380E-006
1551.540000,7.6100E-006,1551.540000,5.4730E-006,1551.540000,5.0630E-006,1551.540000,4.6930E-006,1551.540000,4.1370E-006,1551.540000,2.5580E-006,1551.540000,2.7360E-006,1551.540000,2.2120E-006,1551.540000,1.2040E-006,1551.540000,9.4280E-007
1551.555000,7.9500E-006,1551.555000,4.9520E-006,1551.555000,5.7830E-006,1551.555000,4.5280E-006,1551.555000,3.8170E-006,1551.555000,2.2690E-006,1551.555000,2.3620E-006,1551.555000,1.5760E-006,1551.555000,1.8400E-006,1551.555000,1.3170E-006
1551.570000,9.8670E-006,1551.570000,6.4450E-006,1551.570000,6.2330E-006,1551.570000,3.9160E-006,1551.570000,3.5390E-006,1551.570000,2.9440E-006,1551.570000,2.1270E-006,1551.570000,1.7660E-006,1551.570000,1.5920E-006,1551.570000,7.9480E-007
1551.585000,8.2010E-006,1551.585000,7.1670E-006,1551.585000,4.3940E-006,1551.585000,3.8480E-006,1551.585000,4.0160E-006,1551.585000,2.3350E-006,1551.585000,2.5030E-006,1551.585000,1.8210E-006,1551.585000,1.8140E-006,1551.585000,1.1250E-006
1551.600000,7.1920E-006,1551.600000,6.1990E-006,1551.600000,3.9530E-006,1551.600000,4.4490E-006,1551.600000,4.4920E-006,1551.600000,2.1970E-006,1551.600000,2.3650E-006,1551.600000,1.9810E-006,1551.600000,1.6170E-006,1551.600000,1.0860E-006
1551.615000,5.9780E-006,1551.615000,6.1200E-006,1551.615000,4.6570E-006,1551.615000,3.6230E-006,1551.615000,4.0330E-006,1551.615000,2.5790E-006,1551.615000,2.8630E-006,1551.615000,1.5440E-006,1551.615000,1.3330E-006,1551.615000,1.2110E-006
1551.630000,7.1180E-006,1551.630000,7.4660E-006,1551.630000,4.8910E-006,1551.630000,3.8510E-006,1551.630000,3.7320E-006,1551.630000,2.2880E-006,1551.630000,2.2940E-006,1551.630000,1.7540E-006,1551.630000,1.8410E-006,1551.630000,9.7160E-007
1551.645000,7.1880E-006,1551.645000,9.9120E-006,1551.645000,4.8310E-006,1551.645000,3.5050E-006,1551.645000,3.9230E-006,1551.645000,2.3840E-006,1551.645000,2.3090E-006,1551.645000,1.5300E-006,1551.645000,1.2880E-006,1551.645000,1.2280E-006
1551.660000,7.1690E-006,1551.660000,8.5060E-006,1551.660000,4.3580E-006,1551.660000,3.5920E-006,1551.660000,3.6790E-006,1551.660000,2.1970E-006,1551.660000,2.1710E-006,1551.660000,1.8780E-006,1551.660000,1.4010E-006,1551.660000,1.1600E-006
1551.675000,6.6880E-006,1551.675000,6.4950E-006,1551.675000,4.2710E-006,1551.675000,4.0440E-006,1551.675000,3.8690E-006,1551.675000,2.6950E-006,1551.675000,2.3170E-006,1551.675000,1.6260E-006,1551.675000,1.7590E-006,1551.675000,1.2900E-006
1551.690000,6.1950E-006,1551.690000,7.1870E-006,1551.690000,4.7950E-006,1551.690000,4.6130E-006,1551.690000,2.7730E-006,1551.690000,2.5550E-006,1551.690000,1.9940E-006,1551.690000,2.0400E-006,1551.690000,1.4810E-006,1551.690000,1.1370E-006
1551.705000,8.0320E-006,1551.705000,9.9290E-006,1551.705000,6.5180E-006,1551.705000,4.2010E-006,1551.705000,3.4760E-006,1551.705000,2.7650E-006,1551.705000,2.4700E-006,1551.705000,2.0480E-006,1551.705000,1.3660E-006,1551.705000,1.0430E-006
1551.720000,9.7060E-006,1551.720000,8.6590E-006,1551.720000,6.2720E-006,1551.720000,4.2220E-006,1551.720000,3.5020E-006,1551.720000,2.2910E-006,1551.720000,1.8000E-006,1551.720000,1.4290E-006,1551.720000,1.3980E-006,1551.720000,1.2640E-006
1551.735000,9.8080E-006,1551.735000,6.0150E-006,1551.735000,4.9850E-006,1551.735000,4.6700E-006,1551.735000,3.2470E-006,1551.735000,2.6460E-006,1551.735000,2.6210E-006,1551.735000,2.1470E-006,1551.735000,1.5330E-006,1551.735000,8.5590E-007
1551.750000,7.7950E-006,1551.750000,5.8070E-006,1551.750000,5.3430E-006,1551.750000,4.5620E-006,1551.750000,3.0010E-006,1551.750000,2.7930E-006,1551.750000,2.2400E-006,1551.750000,1.7610E-006,1551.750000,1.4470E-006,1551.750000,1.5620E-006
1551.765000,9.3560E-006,1551.765000,6.3250E-006,1551.765000,6.9130E-006,1551.765000,5.2390E-006,1551.765000,3.1010E-006,1551.765000,2.5230E-006,1551.765000,2.1870E-006,1551.765000,2.0160E-006,1551.765000,1.4730E-006,1551.765000,5.5410E-007
1551.780000,1.3670E-005,1551.780000,6.8050E-006,1551.780000,7.9770E-006,1551.780000,3.3530E-006,1551.780000,3.1660E-006,1551.780000,2.8050E-006,1551.780000,1.9520E-006,1551.780000,1.5300E-006,1551.780000,1.6220E-006,1551.780000,1.1560E-006
1551.795000,1.4310E-005,1551.795000,5.5470E-006,1551.795000,6.2570E-006,1551.795000,4.8440E-006,1551.795000,3.3450E-006,1551.795000,2.4970E-006,1551.795000,2.4700E-006,1551.795000,1.6670E-006,1551.795000,1.6770E-006,1551.795000,1.1720E-006
1551.810000,9.6810E-006,1551.810000,4.9210E-006,1551.810000,4.8040E-006,1551.810000,4.3370E-006,1551.810000,3.8400E-006,1551.810000,2.9370E-006,1551.810000,2.5610E-006,1551.810000,1.8210E-006,1551.810000,1.5440E-006,1551.810000,9.8850E-007
1551.825000,8.2430E-006,1551.825000,5.2820E-006,1551.825000,6.1590E-006,1551.825000,4.4410E-006,1551.825000,2.9350E-006,1551.825000,3.0130E-006,1551.825000,2.2210E-006,1551.825000,1.8400E-006,1551.825000,1.7520E-006,1551.825000,1.3260E-006
1551.840000,1.2590E-005,1551.840000,6.6940E-006,1551.840000,7.0510E-006,1551.840000,4.2410E-006,1551.840000,3.3810E-006,1551.840000,2.2280E-006,1551.840000,2.4680E-006,1551.840000,1.6810E-006,1551.840000,1.9160E-006,1551.840000,9.5110E-007
1551.855000,1.4310E-005,1551.855000,8.1320E-006,1551.855000,5.6280E-006,1551.855000,4.4130E-006,1551.855000,3.5170E-006,1551.855000,2.6140E-006,1551.855000,2.3400E-006,1551.855000,1.6230E-006,1551.855000,1.0370E-006,1551.855000,1.1970E-006
1551.870000,8.9270E-006,1551.870000,6.4590E-006,1551.870000,4.5430E-006,1551.870000,4.0370E-006,1551.870000,3.7290E-006,1551.870000,2.6420E-006,1551.870000,2.2080E-006,1551.870000,1.7250E-006,1551.870000,1.8500E-006,1551.870000,1.1420E-006
1551.885000,6.8050E-006,1551.885000,6.1310E-006,1551.885000,4.5450E-006,1551.885000,4.1710E-006,1551.885000,4.0440E-006,1551.885000,2.9260E-006,1551.885000,2.4040E-006,1551.885000,1.7400E-006,1551.885000,1.3780E-006,1551.885000,6.5500E-007
1551.900000,7.9780E-006,1551.900000,8.1870E-006,1551.900000,5.0910E-006,1551.900000,4.4130E-006,1551.900000,3.0440E-006,1551.900000,2.4080E-006,1551.900000,2.1980E-006,1551.900000,1.5310E-006,1551.900000,1.9660E-006,1551.900000,1.4140E-006
1551.915000,8.7630E-006,1551.915000,1.1480E-005,1551.915000,4.8740E-006,1551.915000,3.2690E-006,1551.915000,4.0450E-006,1551.915000,2.5380E-006,1551.915000,2.2850E-006,1551.915000,1.7660E-006,1551.915000,1.4820E-006,1551.915000,1.3840E-006
1551.930000,8.5690E-006,1551.930000,9.6900E-006,1551.930000,4.4490E-006,1551.930000,3.9370E-006,1551.930000,3.9200E-006,1551.930000,2.2060E-006,1551.930000,2.3130E-006,1551.930000,2.0260E-006,1551.930000,1.5230E-006,1551.930000,1.1440E-006
1551.945000,6.1730E-006,1551.945000,6.5540E-006,1551.945000,4.2620E-006,1551.945000,3.6840E-006,1551.945000,3.8240E-006,1551.945000,2.6530E-006,1551.945000,1.8540E-006,1551.945000,1.2560E-006,1551.945000,1.7250E-006,1551.945000,1.2890E-006
1551.960000,6.1670E-006,1551.960000,7.8570E-006,1551.960000,4.4850E-006,1551.960000,4.0160E-006,1551.960000,3.1890E-006,1551.960000,2.6060E-006,1551.960000,2.2680E-006,1551.960000,2.1470E-006,1551.960000,1.2300E-006,1551.960000,7.8060E-007
1551.975000,7.4980E-006,1551.975000,1.1260E-005,1551.975000,5.5570E-006,1551.975000,3.7260E-006,1551.975000,3.5840E-006,1551.975000,2.4740E-006,1551.975000,1.9050E-006,1551.975000,1.6970E-006,1551.975000,1.8710E-006,1551.975000,1.2570E-006
1551.990000,1.1430E-005,1551.990000,8.9950E-006,1551.990000,5.2530E-006,1551.990000,3.9050E-006,1551.990000,3.5290E-006,1551.990000,2.3420E-006,1551.990000,2.3850E-006,1551.990000,1.0100E-006,1551.990000,1.2410E-006,1551.990000,1.0760E-006
1552.005000,1.0660E-005,1552.005000,6.4200E-006,1552.005000,5.8230E-006,1552.005000,3.9180E-006,1552.005000,3.2250E-006,1552.005000,2.5100E-006,1552.005000,1.7380E-006,1552.005000,1.7290E-006,1552.005000,1.8680E-006,1552.005000,1.2020E-006
1552.020000,8.2650E-006,1552.020000,5.3970E-006,1552.020000,4.4980E-006,1552.020000,4.6190E-006,1552.020000,3.1690E-006,1552.020000,2.7290E-006,1552.020000,2.4980E-006,1552.020000,1.7000E-006,1552.020000,1.4670E-006,1552.020000,1.2960E-006
1552.035000,9.1070E-006,1552.035000,7.3260E-006,1552.035000,6.6070E-006,1552.035000,4.3680E-006,1552.035000,3.1860E-006,1552.035000,2.4510E-006,1552.035000,1.8740E-006,1552.035000,1.8420E-006,1552.035000,1.3530E-006,1552.035000,8.1650E-007
1552.050000,1.5260E-005,1552.050000,6.3410E-006,1552.050000,8.1040E-006,1552.050000,3.9110E-006,1552.050000,3.1590E-006,1552.050000,2.6510E-006,1552.050000,2.5250E-006,1552.050000,1.6250E-006,1552.050000,1.5530E-006,1552.050000,1.0820E-006
1552.065000,1.7090E-005,1552.065000,5.8460E-006,1552.065000,7.0070E-006,1552.065000,4.5170E-006,1552.065000,3.6750E-006,1552.065000,2.2080E-006,1552.065000,2.0700E-006,1552.065000,1.7950E-006,1552.065000,1.5750E-006,1552.065000,1.3160E-006
1552.080000,1.0280E-005,1552.080000,4.7360E-006,1552.080000,5.5270E-006,1552.080000,5.1470E-006,1552.080000,3.4460E-006,1552.080000,3.0590E-006,1552.080000,2.4170E-006,1552.080000,1.6520E-006,1552.080000,1.6140E-006,1552.080000,8.4500E-007
1552.095000,8.7140E-006,1552.095000,4.7960E-006,1552.095000,6.7750E-006,1552.095000,4.6980E-006,1552.095000,2.9380E-006,1552.095000,2.7970E-006,1552.095000,2.1490E-006,1552.095000,1.9360E-006,1552.095000,1.2790E-006,1552.095000,1.1730E-006
1552.110000,1.3600E-005,1552.110000,6.0940E-006,1552.110000,7.7560E-006,1552.110000,3.9110E-006,1552.110000,3.9280E-006,1552.110000,2.4660E-006,1552.110000,2.1740E-006,1552.110000,1.3800E-006,1552.110000,2.0550E-006,1552.110000,1.0530E-006
1552.125000,1.4880E-005,1552.125000,6.8900E-006,1552.125000,6.7940E-006,1552.125000,4.6580E-006,1552.125000,3.6380E-006,1552.125000,2.5360E-006,1552.125000,2.8790E-006,1552.125000,1.6750E-006,1552.125000,1.3720E-006,1552.125000,8.9410E-007
1552.140000,1.0250E-005,1552.140000,6.1350E-006,1552.140000,4.6980E-006,1552.140000,5.1710E-006,1552.140000,3.7920E-006,1552.140000,2.4170E-006,1552.140000,1.8930E-006,1552.140000,1.8330E-006,1552.140000,1.5350E-006,1552.140000,1.5150E-006
1552.155000,6.8430E-006,1552.155000,5.4240E-006,1552.155000,4.9110E-006,1552.155000,4.7450E-006,1552.155000,3.5720E-006,1552.155000,2.7490E-006,1552.155000,2.5910E-006,1552.155000,1.7300E-006,1552.155000,1.3630E-006,1552.155000,7.6410E-007
1552.170000,7.8990E-006,1552.170000,6.5390E-006,1552.170000,5.1540E-006,1552.170000,3.8600E-006,1552.170000,3.4150E-006,1552.170000,2.5830E-006,1552.170000,2.0260E-006,1552.170000,1.6430E-006,1552.170000,1.6220E-006,1552.170000,1.5170E-006
1552.185000,9.1780E-006,1552.185000,9.4990E-006,1552.185000,5.3170E-006,1552.185000,3.9850E-006,1552.185000,3.6410E-006,1552.185000,2.2640E-006,1552.185000,2.2810E-006,1552.185000,1.5890E-006,1552.185000,1.9230E-006,1552.185000,9.5950E-007
1552.200000,8.4750E-006,1552.200000,9.1990E-006,1552.200000,4.6810E-006,1552.200000,4.0750E-006,1552.200000,4.2020E-006,1552.200000,2.3190E-006,1552.200000,2.3620E-006,1552.200000,1.5250E-006,1552.200000,1.3760E-006,1552.200000,1.5050E-006
1552.215000,6.7240E-006,1552.215000,7.4220E-006,1552.215000,4.4830E-006,1552.215000,4.1430E-006,1552.215000,3.3660E-006,1552.215000,2.4870E-006,1552.215000,1.9290E-006,1552.215000,1.8140E-006,1552.215000,1.8940E-006,1552.215000,7.5990E-007
1552.230000,6.3470E-006,1552.230000,6.8580E-006,1552.230000,4.4000E-006,1552.230000,3.5320E-006,1552.230000,3.8450E-006,1552.230000,2.9360E-006,1552.230000,2.1420E-006,1552.230000,1.3520E-006,1552.230000,1.5560E-006,1552.230000,1.6150E-006
1552.245000,7.6690E-006,1552.245000,9.8370E-006,1552.245000,5.4390E-006,1552.245000,3.3980E-006,1552.245000,3.8720E-006,1552.245000,2.1400E-006,1552.245000,1.7230E-006,1552.245000,1.7960E-006,1552.245000,1.5390E-006,1552.245000,1.0340E-006
1552.260000,9.2140E-006,1552.260000,1.1160E-005,1552.260000,6.3150E-006,1552.260000,3.7280E-006,1552.260000,3.8960E-006,1552.260000,2.5280E-006,1552.260000,2.2130E-006,1552.260000,1.9930E-006,1552.260000,1.5780E-006,1552.260000,1.0570E-006
1552.275000,9.3030E-006,1552.275000,7.9940E-006,1552.275000,5.1620E-006,1552.275000,4.4320E-006,1552.275000,3.4890E-006,1552.275000,2.1400E-006,1552.275000,1.8200E-006,1552.275000,1.6440E-006,1552.275000,1.5810E-006,1552.275000,1.5480E-006
1552.290000,7.8330E-006,1552.290000,5.8170E-006,1552.290000,5.0320E-006,1552.290000,4.4490E-006,1552.290000,3.1700E-006,1552.290000,3.0960E-006,1552.290000,2.0500E-006,1552.290000,2.0690E-006,1552.290000,1.4250E-006,1552.290000,7.0410E-007
1552.305000,8.0580E-006,1552.305000,6.5580E-006,1552.305000,5.7370E-006,1552.305000,3.6000E-006,1552.305000,3.2770E-006,1552.305000,2.7570E-006,1552.305000,2.0320E-006,1552.305000,2.0400E-006,1552.305000,1.8050E-006,1552.305000,1.3140E-006
1552.320000,1.1180E-005,1552.320000,7.5030E-006,1552.320000,7.3650E-006,1552.320000,3.9110E-006,1552.320000,3.3470E-006,1552.320000,2.5000E-006,1552.320000,2.1640E-006,1552.320000,1.5580E-006,1552.320000,1.4180E-006,1552.320000,9.4990E-007
1552.335000,1.4100E-005,1552.335000,6.1790E-006,1552.335000,7.1970E-006,1552.335000,4.6490E-006,1552.335000,3.2540E-006,1552.335000,3.0600E-006,1552.335000,2.1020E-006,1552.335000,2.3280E-006,1552.335000,1.4820E-006,1552.335000,6.3340E-007
1552.350000,1.2170E-005,1552.350000,4.7810E-006,1552.350000,4.9410E-006,1552.350000,5.5590E-006,1552.350000,3.4690E-006,1552.350000,3.0860E-006,1552.350000,2.3550E-006,1552.350000,2.0950E-006,1552.350000,1.3080E-006,1552.350000,1.0860E-006
1552.365000,9.1390E-006,1552.365000,4.8560E-006,1552.365000,5.7700E-006,1552.365000,5.4180E-006,1552.365000,2.9370E-006,1552.365000,3.0070E-006,1552.365000,2.2680E-006,1552.365000,1.6720E-006,1552.365000,1.3930E-006,1552.365000,7.6930E-007
1552.380000,1.1900E-005,1552.380000,5.5100E-006,1552.380000,6.7920E-006,1552.380000,4.1870E-006,1552.380000,3.2430E-006,1552.380000,2.5510E-006,1552.380000,2.3940E-006,1552.380000,1.7930E-006,1552.380000,1.6860E-006,1552.380000,1.3760E-006
1552.395000,1.6340E-005,1552.395000,6.4510E-006,1552.395000,6.4040E-006,1552.395000,4.9180E-006,1552.395000,3.5670E-006,1552.395000,2.8600E-006,1552.395000,2.2660E-006,1552.395000,1.9300E-006,1552.395000,1.0950E-006,1552.395000,8.3640E-007
1552.410000,1.4210E-005,1552.410000,5.8000E-006,1552.410000,5.1000E-006,1552.410000,5.7410E-006,1552.410000,3.7020E-006,1552.410000,3.3920E-006,1552.410000,2.2830E-006,1552.410000,2.0320E-006,1552.410000,1.8500E-006,1552.410000,1.6090E-006
